name,nevents,money,drivedist,ROUNDS,gir,avgputts
K.J. Choi,30,305745,274.9,92,67.04,1.795
Mike Reid,23,299138,251.6,76,67.75,1.781
Craig Perks,28,297912,273.1,82,64.09,1.801
Craig Barlow,31,297672,281.3,98,66.67,1.799
Gabriel Hjertstedt,29,296189,272,86,63.92,1.77
Cameron Beckman,26,291515,280.1,81,66.87,1.798
"Dave Stockton, Jr.",31,290426,267.2,89,64.18,1.776
Barry Cheesman,35,277918,284.1,96,64.99,1.783
Nick Faldo,15,276583,268.3,51,63.33,1.805
Jim McGovern,18,266647,271.6,55,64.99,1.747
Jay Haas,26,265755,266.3,80,63.13,1.786
Robert Gamez,26,259305,271.2,76,68.27,1.777
Rich Beem,29,249881,277.8,84,65.91,1.798
Ted Tryba,37,249437,276.4,112,59.53,1.789
Ben Bates,35,248087,273.5,107,65.33,1.813
Brett Quigley,21,247037,276.4,63,64.73,1.771
Frank Nobilo,28,236476,271,98,66.78,1.791
Dicky Pride,35,233720,266.8,98,63.3,1.789
Steve Elkington,17,232785,274.5,59,68.72,1.826
Brad Fabel,30,219924,263.6,88,61.17,1.766
David Morland IV,31,218648,272.2,88,64.79,1.776
Omar Uresti,34,213433,267.2,94,63.95,1.8
John Maginnes,32,211749,259.7,99,63.64,1.797
Charles Raulerson,32,210093,277.7,98,62.19,1.779
Corey Pavin,25,209883,251.3,74,58.18,1.779
Mike Brisky,31,204232,267.4,89,64.08,1.791
Bob Friend,32,202973,261.4,96,62.98,1.796
Mike Sposa,26,201360,272.3,73,64.92,1.792
Scott Gump,36,193460,262.1,108,66.61,1.831
Trevor Dodds,29,191044,269.7,86,63.82,1.774
Ronnie Black,28,190997,270.4,82,65.82,1.796
Mike Springer,31,182726,267.6,83,62.83,1.745
Michael Bradley,26,179510,275.5,73,63.93,1.789
Tom Purtzer,21,170683,278.9,58,67.86,1.836
John Rollins,27,169570,277.5,72,64.12,1.818
Steve Gotsche,32,164203,272.2,91,65.29,1.771
Jason Buha,29,153862,274.8,82,65.79,1.798
Jeff Gove,31,153753,273.4,86,66.06,1.815
David Frost,25,151123,264.2,65,60.36,1.777
Casey Martin,29,143248,288.3,90,67.23,1.789
Tommy Tolles,20,142248,274.8,60,61.48,1.742
Peter Jacobsen,22,141484,275.8,65,66.24,1.81
Jay Delsing,33,132843,273.9,97,63.14,1.816
Paul Curry,25,128701,255.8,64,58.77,1.768
Bob Heintz,34,127412,277.9,87,60.85,1.781
Bobby Cochran,30,127342,275.7,78,61.77,1.798
Fulton Allem,25,119626,264.8,77,65.04,1.805
John Daly,26,115460,301.4,71,62.08,1.8
Emlyn Aubrey,26,110221,265.3,68,62.85,1.787
Steve Hart,30,107949,259.7,72,57.62,1.818
Perry Moss,21,104735,271.8,53,67.71,1.794
Kelly Gibson,30,103304,284.3,84,69.31,1.841
Ryan Howison,30,99149,264.4,83,60.91,1.794
Eric Booker,31,88615,272.5,87,62.35,1.812
Jason Caron,29,87110,272.7,77,62.22,1.827
Bart Bryant,25,85797,263.7,73,64.99,1.837
P.H. Horgan III,25,80612,264.8,65,63.68,1.799
Aaron Bengoechea,29,60429,281.2,75,62.33,1.828
Mike Hulbert,34,59878,262.4,82,60.42,1.784
Chip Beck,21,56637,258.1,51,59.07,1.768
Nolan Henke,32,47722,262.9,79,63.43,1.839
Keith Nolan,23,46006,262.1,57,60.43,1.808
Craig Bowden,25,34280,260.4,54,61.01,1.815
